time_s,gt_x,gt_y,gt_yaw,wheel_x,wheel_y,wheel_yaw,ekf_x,ekf_y,ekf_yaw,err_x,err_y,err_yaw,cmd_vx,cmd_wz,front_left_steer,front_right_steer,rear_left_wheel_vel,rear_right_wheel_vel
17.19,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.3356970322260525e-13,-3.8935820560248096e-25,-5.821330773493168e-12,1.3333431022189367e-13,-1.3633466720634467e-25,-1.7248424910576432e-12,2.9298983660501347e-07,5.643336803445727e-07,-1.2743969540360506e-12,,,,,,
17.29,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.3435127001539303e-13,-3.939234121229065e-25,-5.855393974234766e-12,1.3411587724170407e-13,-1.3768675766229765e-25,-1.7328360968349443e-12,2.929898373865805e-07,5.643336803445727e-07,-1.2823905598133518e-12,,,,,,
17.39,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.3513280854580695e-13,-3.985150754558131e-25,-5.889457170398478e-12,1.3489741704041797e-13,-1.390447360378312e-25,-1.7403856134023954e-12,2.929898381681203e-07,5.643336803445727e-07,-1.2899400763808028e-12,,,,,,
17.49,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.3591438431599195e-13,-4.031335804088134e-25,-5.923520378796865e-12,1.3567899198362644e-13,-1.404090021313825e-25,-1.7483792191796965e-12,2.9298983894969527e-07,5.643336803445727e-07,-1.297933682158104e-12,,,,,,
17.59,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.3669596317431962e-13,-4.0777872614038346e-25,-5.957583589917001e-12,1.3646057239856295e-13,-1.4177947115465927e-25,-1.7563728249569976e-12,2.9298983973127565e-07,5.643336803445727e-07,-1.305927287935405e-12,,,,,,
17.69,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.3747749389708967e-13,-4.1245020718085296e-25,-5.991646796508273e-12,1.3724210478642178e-13,-1.431559916324395e-25,-1.7639223415244487e-12,2.9298984051280807e-07,5.643336803445727e-07,-1.3134768045028562e-12,,,,,,
17.79,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.3825910598262623e-13,-4.171487991448473e-25,-6.025709984629134e-12,1.3802371401192e-13,-1.4453878383175247e-25,-1.7719159473017498e-12,2.929898412944173e-07,5.643336803445727e-07,-1.3214704102801573e-12,,,,,,
17.89,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.3904069151271318e-13,-4.218738546770234e-25,-6.059773191200673e-12,1.388052999132229e-13,-1.4592767867326504e-25,-1.779909553079051e-12,2.929898420760032e-07,5.643336803445727e-07,-1.3294640160574584e-12,,,,,,
17.99,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.3982231102282943e-13,-4.266257400987222e-25,-6.093836369438445e-12,1.3958691811842064e-13,-1.4732277115382633e-25,-1.787903158856352e-12,2.929898428576214e-07,5.643336803445727e-07,-1.3374576218347595e-12,,,,,,
18.09,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.4060389238555554e-13,-4.3140401779705765e-25,-6.12789954560025e-12,1.4036850018309666e-13,-1.4872392027301095e-25,-1.7954526754238032e-12,2.9298984363920345e-07,5.643336803445727e-07,-1.3450071384022106e-12,,,,,,
